Frame_Number,Timestamp,Object_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,Violation_Status
38,1.48,6,3,0.7256861925125122,157,356,378,565,No Violation
39,1.52,6,3,0.8021492958068848,146,357,372,572,No Violation
40,1.56,6,3,0.8708133101463318,135,361,367,577,No Violation
41,1.6,6,3,0.6525012254714966,123,363,359,584,No Violation
42,1.6400000000000001,6,3,0.7210216522216797,113,365,353,592,No Violation
43,1.68,6,3,0.725215494632721,99,368,346,600,No Violation
44,1.72,6,3,0.864169716835022,87,371,338,604,No Violation
45,1.76,6,3,0.7385128736495972,73,374,330,609,No Violation
46,1.8,6,3,0.6645181775093079,59,377,324,617,No Violation
47,1.84,6,3,0.8281211256980896,48,380,317,623,No Violation
48,1.8800000000000003,6,3,0.7451863884925842,39,382,309,630,No Violation
49,1.92,6,3,0.8147675395011902,33,386,303,640,No Violation
50,1.96,6,3,0.7922009825706482,32,389,295,645,No Violation
52,2.04,6,3,0.7415544390678406,31,393,280,659,No Violation
53,2.08,6,3,0.7299511432647705,30,396,272,668,No Violation
54,2.12,14,3,0.6092458963394165,29,399,265,676,No Violation
55,2.16,14,3,0.704691469669342,28,405,257,685,No Violation
56,2.2,6,3,0.7304651737213135,27,409,249,694,No Violation
57,2.24,14,3,0.7024949789047241,26,414,240,704,No Violation
58,2.2800000000000002,6,3,0.5690420866012573,25,418,232,712,No Violation
59,2.32,6,3,0.15210670232772827,24,421,223,724,No Violation
60,2.36,6,3,0.14876991510391235,23,424,215,742,No Violation
61,2.4,6,3,0.262885183095932,22,428,205,780,No Violation
62,2.44,6,3,0.4005478620529175,21,427,195,752,No Violation
63,2.48,6,3,0.5297074317932129,20,429,187,747,No Violation
64,2.52,14,3,0.5452895164489746,19,404,176,778,No Violation
65,2.56,6,3,0.4939132034778595,18,389,164,775,No Violation
66,2.6,6,3,0.5930523872375488,17,375,153,728,No Violation
67,2.64,6,3,0.18942469358444214,15,386,143,739,No Violation
68,2.68,14,3,0.12545545399188995,14,398,131,756,No Violation
116,4.6000000000000005,21,3,0.11519143730401993,1749,555,1900,875,No Violation
117,4.64,21,3,0.18378834426403046,1735,547,1899,867,No Violation
136,5.4,21,3,0.6607051491737366,1565,460,1877,740,No Violation
137,5.44,21,3,0.6097564101219177,1554,457,1870,732,No Violation
140,5.5600000000000005,21,3,0.45734816789627075,1532,445,1828,704,No Violation
145,5.76,21,3,0.5800787806510925,1495,428,1760,669,No Violation
220,8.76,32,3,0.7241880893707275,653,251,709,316,No Violation
221,8.8,32,3,0.6598395705223083,651,251,707,316,No Violation
222,8.84,32,3,0.6387341618537903,649,252,706,318,No Violation
223,8.88,32,3,0.5832345485687256,648,252,706,320,No Violation
224,8.92,32,3,0.5338455438613892,647,251,705,320,No Violation
225,8.96,32,3,0.5905713438987732,646,250,705,322,No Violation
226,9.0,32,3,0.539980947971344,646,250,704,322,No Violation
227,9.040000000000003,32,3,0.7490848302841187,645,250,703,323,No Violation
228,9.08,32,3,0.7292141914367676,643,250,702,324,No Violation
229,9.120000000000001,32,3,0.7462806701660156,641,251,700,325,No Violation
230,9.16,32,3,0.8663454651832581,639,252,699,326,No Violation
231,9.200000000000001,32,3,0.8703469038009644,638,253,698,327,No Violation
232,9.24,32,3,0.867006242275238,636,254,696,328,No Violation
233,9.28,32,3,0.7072106003761292,634,256,695,329,No Violation
234,9.32,32,3,0.577604353427887,632,258,695,330,No Violation
235,9.36,32,3,0.6428197026252747,633,259,693,331,No Violation
